trial,FNR,FPR,TNR,TPR,accuracy,f05,f1,f2,mcc,precision,recall,sensitivity,specificity,pos,conf
pos_1-conf_1,0.0,1.0,0.0,1.0,0.09971200000000001,0.12158287279907136,0.18120913097026795,0.35576262085297733,,0.09971200000000001,1.0,1.0,0.0,1,1
pos_1-conf_3,0.0,1.0,0.0,1.0,0.09971200000000001,0.12158287279907136,0.18120913097026795,0.35576262085297733,,0.09971200000000001,1.0,1.0,0.0,1,3
pos_1-conf_5,1.0,0.0,1.0,0.0,0.900288,,,,,,0.0,0.0,1.0,1,5
pos_1-conf_7,1.0,0.0,1.0,0.0,0.900288,,,,,,0.0,0.0,1.0,1,7
pos_1-conf_9,1.0,0.0,1.0,0.0,0.900288,,,,,,0.0,0.0,1.0,1,9
pos_3-conf_1,0.0,1.0,0.0,1.0,0.30061,0.3494395636509374,0.4620521914325146,0.6820174391066182,,0.30061,1.0,1.0,0.0,3,1
pos_3-conf_3,0.0,1.0,0.0,1.0,0.30061,0.3494395636509374,0.4620521914325146,0.6820174391066182,,0.30061,1.0,1.0,0.0,3,3
pos_3-conf_5,1.0,0.0,1.0,0.0,0.69939,,,,,,0.0,0.0,1.0,3,5
pos_3-conf_7,1.0,0.0,1.0,0.0,0.69939,,,,,,0.0,0.0,1.0,3,7
pos_3-conf_9,1.0,0.0,1.0,0.0,0.69939,,,,,,0.0,0.0,1.0,3,9
pos_5-conf_1,0.0,1.0,0.0,1.0,0.50055,0.5560426896952951,0.6670041779389495,0.833449611921628,,0.50055,1.0,1.0,0.0,5,1
pos_5-conf_3,0.0,1.0,0.0,1.0,0.50055,0.5560426896952951,0.6670041779389495,0.833449611921628,,0.50055,1.0,1.0,0.0,5,3
pos_5-conf_5,1.0,0.0,1.0,0.0,0.49945,,,,,,0.0,0.0,1.0,5,5
pos_5-conf_7,1.0,0.0,1.0,0.0,0.49945,,,,,,0.0,0.0,1.0,5,7
pos_5-conf_9,1.0,0.0,1.0,0.0,0.49945,,,,,,0.0,0.0,1.0,5,9
pos_7-conf_1,0.0,1.0,0.0,1.0,0.699812,0.744465661501396,0.823304130369955,0.920902141970157,,0.699812,1.0,1.0,0.0,7,1
pos_7-conf_3,0.0,1.0,0.0,1.0,0.699812,0.744465661501396,0.823304130369955,0.920902141970157,,0.699812,1.0,1.0,0.0,7,3
pos_7-conf_5,1.0,0.0,1.0,0.0,0.300188,,,,,,0.0,0.0,1.0,7,5
pos_7-conf_7,1.0,0.0,1.0,0.0,0.300188,,,,,,0.0,0.0,1.0,7,7
pos_7-conf_9,1.0,0.0,1.0,0.0,0.300188,,,,,,0.0,0.0,1.0,7,9
pos_9-conf_1,0.0,1.0,0.0,1.0,0.900648,0.9188918997459142,0.947701304860535,0.9783955752902256,,0.900648,1.0,1.0,0.0,9,1
pos_9-conf_3,0.0,1.0,0.0,1.0,0.900648,0.9188918997459142,0.947701304860535,0.9783955752902256,,0.900648,1.0,1.0,0.0,9,3
pos_9-conf_5,1.0,0.0,1.0,0.0,0.09935200000000001,,,,,,0.0,0.0,1.0,9,5
pos_9-conf_7,1.0,0.0,1.0,0.0,0.09935200000000001,,,,,,0.0,0.0,1.0,9,7
pos_9-conf_9,1.0,0.0,1.0,0.0,0.09935200000000001,,,,,,0.0,0.0,1.0,9,9
